ID,Customer ID,Age,Gender,State,Annual Income,Annual Disposal,Education Level,Zip Code
154,CB001154,46.0,Male,New Mexico,140000.0,11200.0,High School Diploma,87516
324,CB001324,24.0,Male,Alabama,23000.0,1840.0,Some College,35460
711,CB001711,47.0,Female,Utah,130000.0,9100.0,Master's Degree,84744
359,CB001359,48.0,Male,Alabama,120000.0,9600.0,High School Diploma,35461
239,CB001239,34.0,Male,Arizona,30000.0,2100.0,High School Diploma,85210
97,CB001097,31.0,Female,Virginia,40000.0,3600.0,High School Diploma,22623
387,CB001387,39.0,Female,North Carolina,84000.0,2520.0,GED,28707
931,CB001931,40.0,Male,Michigan,150000.0,7500.0,Master's Degree,49130
636,CB001636,26.0,Male,Illinois,31000.0,1550.0,Some College,62236
839,CB001839,35.0,Female,Kansas,86000.0,6880.0,Master's Degree,67212
506,CB001506,41.0,Male,Pennsylvania,150000.0,14500.0,High School Diploma,15201
1157,CB002157,19.0,Male,California,2200.0,110.0,High School Diploma,92567
888,CB001888,46.0,Male,Idaho,130000.0,3900.0,GED,83822
74,CB001074,22.0,Male,North Dakota,19000.0,1330.0,High School Diploma,58366
546,CB001546,32.0,Female,Iowa,50000.0,1500.0,High School Diploma,52132
880,CB001880,18.0,Male,North Dakota,3200.0,96.0,GED,58323
732,CB001732,17.0,Male,Washington,1000.0,80.0,GED,98582
956,CB001956,21.0,Male,Illinois,22000.0,1540.0,High School Diploma,60104
129,CB001129,40.0,Female,Michigan,100000.0,8000.0,Some College,49011
593,CB001593,31.0,Male,Pennsylvania,30000.0,2100.0,High School Diploma,18092
277,CB001277,16.0,Female,Wyoming,1500.0,60.0,Bachelor's Degree,82801
1421,CB002421,39.0,Male,Montana,59000.0,1770.0,Master's Degree,59226
589,CB001589,17.0,Other,Mississippi,350.0,25.0,High School Diploma,38756
1411,CB002411,19.0,Female,Kansas,4800.0,144.0,High School Diploma,67491
1049,CB002049,37.0,Other,Ohio,55000.0,2200.0,Doctorate Degree,44851
1333,CB002333,32.0,Other,North Carolina,28000.0,1400.0,Some College,28610
48,CB001048,25.0,Female,Maine,43000.0,1290.0,Some College,4862
309,CB001309,22.0,Male,Ohio,15000.0,1350.0,Some College,44504
1041,CB002041,27.0,Other,Ohio,42000.0,1260.0,High School Diploma,44826
55,CB001055,37.0,Male,Alaska,54000.0,2160.0,Some College,99681
1093,CB002093,34.0,Male,Texas,31000.0,1240.0,Some College,75778
13,CB001013,43.0,Male,Louisiana,130000.0,5200.0,Bachelor's Degree,71232
70,CB001070,16.0,Female,Pennsylvania,840.0,50.0,Some College,18463
1025,CB002025,46.0,Male,Ohio,120000.0,9600.0,GED,45898
