ID,Customer ID,Age,Gender,State,Annual Income,Annual Disposal,Education Level,Zip Code
154,CB001154,46,Male,New Mexico,140000,11200,High School Diploma,87516
324,CB001324,24,Male,Alabama,23000,1840,Some College,35460
711,CB001711,47,Female,Utah,130000,9100,Master's Degree,84744
359,CB001359,48,Male,Alabama,120000,9600,High School Diploma,35461
239,CB001239,34,Male,Arizona,30000,2100,High School Diploma,85210
97,CB001097,31,Female,Virginia,40000,3600,,22623
387,CB001387,39,Female,North Carolina,84000,2520,GED,28707
931,CB001931,40,Male,Michigan,150000,7500,Master's Degree,49130
636,CB001636,26,Male,Illinois,31000,1550,Associate's Degree,62236
839,CB001839,35,Female,Kansas,86000,6880,Master's Degree,67212
506,CB001506,41,Male,Pennsylvania,150000,14500,High School Diploma,15201
1157,CB002157,19,Male,California,2200,110,High School Diploma,92567
888,CB001888,46,Male,Idaho,130000,3900,GED,83822
74,CB001074,22,Male,North Dakota,19000,1330,Some High School,58366
546,CB001546,32,Female,Iowa,50000,1500,Some High School,52132
880,CB001880,18,Male,North Dakota,3200,96,GED,58323
732,CB001732,17,Male,Washington,1000,80,GED,98582
956,CB001956,21,Male,Illinois,22000,1540,Some High School,60104
129,CB001129,40,Female,Michigan,100000,8000,Some College,49011
593,CB001593,31,Male,Pennsylvania,30000,2100,Some High School,18092
277,CB001277,16,Female,Wyoming,1500,60,,82801
1421,CB002421,39,Male,Montana,59000,1770,Master's Degree,59226
589,CB001589,17,Other,Mississippi,350,25,Some High School,38756
1411,CB002411,19,Female,Kansas,4800,144,Some High School,67491
1049,CB002049,37,Other,Ohio,55000,2200,Doctorate Degree,44851
1333,CB002333,32,Other,North Carolina,28000,1400,Some College,28610
48,CB001048,25,Female,Maine,43000,1290,Associate's Degree,4862
309,CB001309,22,Male,Ohio,15000,1350,Associate's Degree,44504
1041,CB002041,27,Other,Ohio,42000,1260,High School Diploma,44826
55,CB001055,37,Male,Alaska,54000,2160,Associate's Degree,99681
1093,CB002093,34,Male,Texas,31000,1240,,75778
13,CB001013,43,Male,Louisiana,130000,5200,Bachelor's Degree,71232
70,CB001070,16,Female,Pennsylvania,840,50,,18463
1025,CB002025,46,Male,Ohio,120000,9600,,45898
1159,CB002159,42,Male,Oregon,140000,9800,Master's Degree,97913
397,CB001397,48,Male,Massachusetts,120000,7200,Master's Degree,1344
444,CB001444,24,Male,Massachusetts,11000,770,Some College,1029
262,CB001262,17,Female,Maryland,1000,90,Some High School,21722
1194,CB002194,31,Other,Florida,37000,1480,Associate's Degree,32211
1429,CB002429,38,Male,New Mexico,58000,4640,GED,87539
1182,CB002182,23,Male,Arizona,20000,1400,Some High School,85339
121,CB001121,41,Male,Colorado,130000,3900,Bachelor's Degree,81036
797,CB001797,23,Male,Massachusetts,15000,1350,Some High School,2647
916,CB001916,44,Other,Tennessee,130000,10400,Some High School,38107
706,CB001706,21,Male,Nebraska,11000,770,Associate's Degree,68527
