ID,Zip,Average Annual Income,Average annual disposable funds,Education,Average age,age18-25,age 26-35,age 36-50,age 51-69,age 70+,Population,Female,Male,State
100001,601,40317,4843,Some College,31,0.24,0.18,0.26,0.25,0.07,18570,0.52,0.48,Puerto Rico
100002,602,171862,18804,Some High School,31,0.23,0.2,0.23,0.27,0.07,41520,0.61,0.39,Puerto Rico
100003,603,114528,12932,Some College,33,0.18,0.23,0.25,0.26,0.08,54689,0.63,0.37,Puerto Rico
100004,606,28613,2229,GED,29,0.22,0.21,0.25,0.24,0.08,6615,0.65,0.35,Puerto Rico
100005,610,127263,15719,Master's Degree,27,0.24,0.2,0.3,0.17,0.09,29016,0.43,0.57,Puerto Rico
100006,612,72353,10560,Some College,20,0.39,0.18,0.18,0.18,0.07,67010,0.47,0.53,Puerto Rico
100007,616,39947,3742,Associate's Degree,34,0.18,0.28,0.18,0.28,0.08,11017,0.6,0.4,Puerto Rico
100008,617,57831,6120,Some High School,34,0.23,0.3,0.2,0.19,0.08,24597,0.58,0.42,Puerto Rico
100009,622,179465,15832,Bachelor's Degree,14,0.38,0.19,0.2,0.17,0.06,7853,0.41,0.59,Puerto Rico
100010,623,115604,11600,High School Diploma,33,0.24,0.3,0.2,0.17,0.09,43061,0.55,0.45,Puerto Rico
100011,624,100843,9621,Master's Degree,31,0.18,0.26,0.29,0.2,0.07,26241,0.47,0.53,Puerto Rico
100012,627,83423,5062,High School Diploma,31,0.23,0.17,0.25,0.26,0.09,35159,0.4,0.6,Puerto Rico
100013,631,101315,7554,Associate's Degree,31,0.14,0.26,0.23,0.3,0.07,1852,0.47,0.53,Puerto Rico
100014,637,76277,6383,Some College,31,0.18,0.24,0.23,0.28,0.07,25287,0.55,0.45,Puerto Rico
100015,638,59195,8638,Some High School,31,0.19,0.23,0.29,0.23,0.06,18941,0.47,0.53,Puerto Rico
100016,641,158158,19826,Some High School,28,0.32,0.24,0.17,0.21,0.06,31191,0.58,0.42,Puerto Rico
100017,646,82744,9808,Bachelor's Degree,39,0.25,0.24,0.18,0.27,0.06,38199,0.44,0.56,Puerto Rico
100018,647,27278,2964,Bachelor's Degree,22,0.3,0.23,0.17,0.23,0.07,6172,0.45,0.55,Puerto Rico
100019,650,36587,2246,GED,21,0.26,0.17,0.25,0.25,0.07,14998,0.48,0.52,Puerto Rico
100020,652,156818,18038,High School Diploma,30,0.3,0.22,0.17,0.24,0.07,4715,0.67,0.33,Puerto Rico
100021,653,171023,17599,Some College,30,0.23,0.23,0.19,0.26,0.09,13307,0.42,0.58,Puerto Rico
100022,656,154181,11813,Some College,36,0.18,0.2,0.29,0.27,0.06,21481,0.49,0.51,Puerto Rico
100023,659,116916,11517,GED,29,0.27,0.23,0.22,0.22,0.06,41953,0.58,0.42,Puerto Rico
100024,660,100505,13934,Some High School,30,0.31,0.18,0.25,0.2,0.06,17250,0.52,0.48,Puerto Rico
100025,662,51517,4641,GED,30,0.2,0.18,0.27,0.27,0.08,43282,0.45,0.55,Puerto Rico
100026,664,60270,7061,Associate's Degree,33,0.08,0.3,0.26,0.28,0.08,16784,0.51,0.49,Puerto Rico
